city,latitude,longitude
Muar,2.0631,102.5849
Kulai,1.640555556,103.6702778
Kluang,2.037882,103.312063
Larkin,1.494625,103.735975
Mersing,2.383333333,103.8594444
Segamat,2.493914,102.862694
Tangkak,2.294794,102.571595
Pengerang,1.389489,104.149586
Batu Pahat,1.919323,102.866618
Johor Bahru,1.59889,103.680107
Kota Tinggi,1.564056,104.225306
Pasir Gudang,1.4584928,103.9379466
Yan,5.8457834,100.4287388
Kulim,5.401688,100.58968
Langkawi,6.333333333,99.73333333
Alor Setar,6.137244,100.346815
Kota Setar,6.194444444,100.4008333
Kuala Muda,5.6791693,100.6295196
Bandar Baharu,5.13825,100.507162
Sungai Petani,5.594814,100.536172
Ipoh,4.569166667,101.0930556
Manjung,4.200344,100.663358
Muallim,3.76835,101.52598
Taiping,4.89885,100.679106
Sitiawan,4.216388889,100.6986111
Tanjong Malim,3.687758,101.524494
Kudat,6.924166667,116.8308333
Papar,5.538225,115.850556
Tawau,4.313333333,118.1219444
Tuaran,6.128676,116.256661
Beluran,5.720743,117.36956
Keningau,5.339317,116.163658
Sandakan,5.901666667,118.0486111
Kota Belud,6.226784,116.452015
Kota Kinabalu,6.097122,116.166392
Labuan,5.301666667,115.2483333
Alor Gajah,2.370925,102.224592
Ayer Keroh,2.237283,102.274261
Bandaraya Melaka,2.258519,102.172683
Raub,3.807348,101.940577
Pekan,3.058157,103.17379
Lojing,4.733746,101.643561
Rompin,2.926645,103.419198
Kuantan,3.895891,103.34027
Jerantut,3.94836,102.366632
Temerloh,3.471603,102.376406
Cameron Highlands,4.515281,101.428466
Kangar,6.429922,100.211069
Kuala Perlis,6.39999,100.138527
Miri,4.424679,114.012426
Sibu,2.264166667,111.9825
Kapit,2.014498,112.92736
Lundu,1.813611111,109.7627778
Mukah,2.883238,112.019742
Bintulu,3.177084,113.041091
Kuching,1.56751,110.296726
Limbang,4.758891,115.013667
Sarikei,2.132809,111.52287
Sri Aman,1.217000008,111.4499969
Kota Samarahan,1.454853,110.491505
Kota Bharu,6.147431,102.249236
Tanah Merah,5.811172,102.1345
Klang,3.053294,101.452904
Kajang,2.939093,101.886086
Banting,2.816689,101.623158
Dengkil,2.892757,101.756045
Puchong,3.034558,101.610851
Balakong,3.008224,101.73138
Shah Alam,3.131111111,101.5480556
Petaling Jaya,3.126314,101.618439
Kuala Selangor,3.20031,101.491547
Putrajaya,2.9196,101.696
Besut,5.748449,102.515632
Dungun,4.598064,103.434819
Kemaman,4.262121,103.425778
Kuala Terengganu,5.048055556,103.1047222
Sepang,2.977911,101.733853
Selayang,3.214151,101.593764
Kuala Lumpur,3.060738,101.681036
Timur Laut,5.356211,100.30792
Balik Pulau,5.337598,100.214721
Bayan Lepas,5.297222222,100.2766667
George Town,5.462463,100.299668
Bukit Mertajam,5.329358,100.443475
Seberang Perai,5.1914,100.4334
Nilai,2.821692,101.811486
Siliau,2.6847617,101.8424253
Seremban,2.841943,101.802068
Port Dickson,2.441383,101.866858
